Población;Zona Tarifaria;Sector
Abrera;3;B
Aguilar de Segarra;6;E
Aiguafreda;4;F
Alella;2;E
Alpens;6;H
L'Ametlla del Vallès;4;F
L'Arboç;5;B
Arenys de Mar;4;H
Arenys de Munt;4;H
Argençola;6;C
Argentona;3;E
Artés;6;E
Avià;7;E
Avinyó;6;E
Avinyonet del Penedès;3;B
Badalona;1;
Badia del Vallès;2;C
Bagà;7;F
Balenyà;5;F
Balsareny;6;E
Barberà del Vallès;2;C
Barcelona;1;
Begues;2;A
Bellprat;5;C
Bellvei;5;B
Berga;7;F
Bigues i Riells;4;F
Biosca;7;C
Blanes;5;H
Borredà;7;F
Breda;4;G
El Bruc;5;D
El Brull;5;F
Les Cabanyes;4;B
Cabrera d'Anoia;4;C
Cabrera de Mar;3;E
Cabrils;2;E
Calaf;6;C
Calafell;5;A
Calders;6;E
Caldes d'Estrac;3;E
Caldes de Montbui;3;D
Calella;4;H
Calldetenes;6;F
Callús;6;E
Calonge de Segarra;6;C
Campelles;7;H
Campins;4;G
Camprodon;7;H
Canet de Mar;4;H
Canovelles;3;D
Cànoves i Samalús;4;F
Canyelles;4;A
Capellades;5;C
Capolat;7;F
Cardedeu;3;D
Cardona;6;E
Carme;5;C
Casserres;7;E
Castell de l'Areny;7;F
Castellar de la Ribera;7;C
Castellar del Riu;7;F
Castellar de n'Hug;7;F
Castellar del Vallès;3;C
Castellbell i el Vilar;5;E
Castellbisbal;2;B
Castellcir;4;F
Castelldefels;1;
Castellet i la Gornal;4;B
Castellfollit del Boix;6;E
Castellfollit de Riubregós;6;C
Castellgalí;5;E
Castellnou de Bages;6;E
Castellolí;5;D
Castellterçol;4;F
Castellví de la Marca;4;B
Castellví de Rosanes;3;B
Centelles;5;F
Cercs;7;F
Cerdanyola del Vallès;2;C
Cervelló;2;B
Clariana de Cardener;7;C
Collbató;4;D
Collsuspina;5;F
la Coma i la Pedra;7;D
Copons;6;C
Corbera de Llobregat;2;B
Cornellà de Llobregat;1;
Cubelles;4;A
Cunit;5;A
Dosrius;3;E
Esparreguera;3;B
Espinelves;5;F
Esplugues de Llobregat;1;
l'Espunyola;7;E
L'Esquirol;6;H
L'Estany;6;E
Figaró-Montmany;4;F
Fígols;7;F
Fogars de Montclús;4;G
Fogars de la Selva;5;H
Folgueroles;6;F
Fonollosa;6;E
Font-rubí;4;B
Les Franqueses del Vallès;3;D
Gaià;6;E
Gallifa;4;F
