Poblacion;Zona Tarifaria;Sector;Tarifa Metropolitana
Abrera;3;B;NO
Aguilar de Segarra;6;E;NO
Aiguafreda;4;F;NO
Alella;2;E;NO
Alpens;6;H;NO
L'Ametlla del Vallès;4;F;NO
L'Arboç;5;B;NO
Arenys de Mar;4;H;NO
Arenys de Munt;4;H;NO
Argençola;6;C;NO
Argentona;3;E;NO
Artés;6;E;NO
Avià;7;E;NO
Avinyó;6;E;NO
Avinyonet del Penedès;3;B;NO
Badalona;1;;SI
Badia del Vallès;2;C;SI
Bagà;7;F;NO
Balenyà;5;F;NO
Balsareny;6;E;NO
Barberà del Vallès;2;C;SI
Barcelona;1;;SI
Begues;2;A;SI
Bellprat;5;C;NO
Bellvei;5;B;NO
Berga;7;F;NO
Bigues i Riells;4;F;NO
Biosca;7;C;NO
Blanes;5;H;NO
Borredà;7;F;NO
Breda;4;G;NO
El Bruc;5;D;NO
El Brull;5;F;NO
Les Cabanyes;4;B;NO
Cabrera d'Anoia;4;C;NO
Cabrera de Mar;3;E;NO
Cabrils;2;E;NO
Calaf;6;C;NO
Calafell;5;A;NO
Calders;6;E;NO
Caldes d'Estrac;3;E;NO
Caldes de Montbui;3;D;NO
Calella;4;H;NO
Calldetenes;6;F;NO
Callús;6;E;NO
Calonge de Segarra;6;C;NO
Campelles;7;H;NO
Campins;4;G;NO
Camprodon;7;H;NO
Canet de Mar;4;H;NO
Canovelles;3;D;NO
Cànoves i Samalús;4;F;NO
Canyelles;4;A;NO
Capellades;5;C;NO
Capolat;7;F;NO
Cardedeu;3;D;NO
Cardona;6;E;NO
Carme;5;C;NO
Casserres;7;E;NO
Castell de l'Areny;7;F;NO
Castellar de la Ribera;7;C;NO
Castellar del Riu;7;F;NO
Castellar de n'Hug;7;F;NO
Castellar del Vallès;3;C;NO
Castellbell i el Vilar;5;E;NO
Castellbisbal;2;B;SI
Castellcir;4;F;NO
Castelldefels;1;;SI
Castellet i la Gornal;4;B;NO
Castellfollit del Boix;6;E;NO
Castellfollit de Riubregós;6;C;NO
Castellgalí;5;E;NO
Castellnou de Bages;6;E;NO
Castellolí;5;D;NO
Castellterçol;4;F;NO
Castellví de la Marca;4;B;NO
Castellví de Rosanes;3;B;NO
Centelles;5;F;NO
Cercs;7;F;NO
Cerdanyola del Vallès;2;C;SI
Cervelló;2;B;SI
Clariana de Cardener;7;C;NO
Collbató;4;D;NO
Collsuspina;5;F;NO
la Coma i la Pedra;7;D;NO
Copons;6;C;NO
Corbera de Llobregat;2;B;SI
Cornellà de Llobregat;1;;SI
Cubelles;4;A;NO
Cunit;5;A;NO
Dosrius;3;E;NO
Esparreguera;3;B;NO
Espinelves;5;F;NO
Esplugues de Llobregat;1;;SI
l'Espunyola;7;E;NO
L'Esquirol;6;H;NO
L'Estany;6;E;NO
Figaró-Montmany;4;F;NO
Fígols;7;F;NO
Fogars de Montclús;4;G;NO
Fogars de la Selva;5;H;NO
Folgueroles;6;F;NO
