Población;Zona Tarifaria;Sector
Badalona;1;	
Badia del Vallès;2;C
Barcelona;1;	
Barberà del Vallès;2;C
Castelldefels;1;	
Begues;2;A
Cornellà de Llobregat;1;	
Catellbisbal;2;B
Esplugues de Llobregat;1;	
Cerdanyola del Vallès;2;C
Gavà;1;	
Cervelló;2;B
L’Hospitalet de Llobregat;1;	
Corbera de Llobregat;2;B
Montcada i Reixac;1;	
Molins de Rei;2;B
Montgat;1;	
Pallejà;2;B
El Prat de Llobregat;1;	
La Palma de Cervelló;2;B
Sant Adrià de Besòs;1;	
El Papiol;2;B
Sant Boi de Llobregat;1;	 
Ripollet;2;C
Sant Feliu de Llobregat;1;	
Sant Andreu de la Barca;2;B
Sant Joan Despí;1;	
Sant Climent de Llobregat;2;B
Sant Just Desvern;1;	
Sant Cugat del Vallès;2;C
Santa Coloma de Gramenet;1;	
Sant Vicenç dels Horts;2;B
Tiana;1;	
Santa Coloma de Cervelló;2;B
Viladecans;1;	
Torrelles de Llobregat;2;B
