Título;1 zona;2 zonas;3 zonas;4 zones;5 zonas;6 zonas;7 zonas
Billete sencillo;2,90 €;4,15 €;5,40 €;6,90 €;8,80 €;10,25 €;11,60 €
T-casual;13,00 €;25,50 €;34,70 €;44,65 €;51,20 €;54,45 €;57,60 €
T-dia;12,00 €;18,30 €;22,95 €;25,65 €;28,70 €;32,10 €;34,70 €
T-familiar;11,50 €;21,75 €;30,80 €;39,95 €;45,65 €;47,95 €;49,70 €
T-grup;91,00 €;178,50 €;242,90 €;312,55 €;358,40 €;381,15 €;403,20 €
T-aire;2,35 €;4,60 €;6,25 €;8,05 €;9,25 €;9,80 €;10,65 €
T-usual;22,80 €;30,55 €;42,70 €;52,15 €;59,60 €;63,85 €;67,65 €
T-usual FM/FN general;18,20 €;24,40 €;34,15 €;41,70 €;47,65 €;51,05 €;54,10 €
T-usual FM/FN especial;11,40 €;15,25 €;21,35 €;26,05 €;29,80 €;31,90 €;33,80 €
T-70/90 FM/FN general;36,40 €;71,40 €;97,15 €;125,00 €;143,35 €;152,45 €;161,25 €
T-70/90 FM/FN especial;22,75 €;44,60 €;60,70 €;78,10 €;89,60 €;95,25 €;100,80 €
T-usual bonificada;5,65 €;5,65 €;5,65 €;5,65 €;5,65 €;5,65 €;5,65 €
T-Jove;45,50 €;45,50 €;45,50 €;45,50 €;45,50 €;45,50 €;45,50 €
T-Jove FM/FN general;45,50 €;45,50 €;45,50 €;45,50 €;45,50 €;45,50 €;45,50 €
T-Jove FM/FN especial;45,50 €;45,50 €;45,50 €;45,50 €;45,50 €;45,50 €;45,50 €
